Algorithm,N: 100,N: 200,N: 300,N: 400,N: 500,N: 600,N: 700,N: 800,N: 900,N: 1000
Mean Lista2.MergeSort Swaps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mean Lista2.MergeSort Comparisons,672.0,1544.0,2488.0,3488.0,4488.0,5576.0,6676.0,7776.0,8876.0,9976.0
Mean Lista2.InsertionSort Swaps,2550.4,10025.3,22709.2,40609.5,62758.0,90515.2,122358.7,159657.8,204665.0,249672.8
Mean Lista2.InsertionSort Comparisons,2550.4,10025.3,22709.2,40609.5,62758.0,90515.2,122358.7,159657.8,204665.0,249672.8
Mean Lista2.QuickSort Swaps,189.3,424.5,674.3,930.8,1212.3,1485.3,1772.4,2048.0,2339.1,2632.9
Mean Lista2.QuickSort Comparisons,852.5,1970.9,3307.9,4570.2,5782.8,7332.5,8629.8,10081.3,12134.0,13444.1
Mean Lista2.MergeSort Swaps / N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mean Lista2.MergeSort Comparisons / N,6.72,7.72,8.293333,8.72,8.976,9.293333,9.537143,9.72,9.862223,9.976
Mean Lista2.InsertionSort Swaps / N,25.504,50.1265,75.697334,101.52375,125.516,150.85867,174.79814,199.57225,227.40555,249.67279
Mean Lista2.InsertionSort Comparisons / N,25.504,50.1265,75.697334,101.52375,125.516,150.85867,174.79814,199.57225,227.40555,249.67279
Mean Lista2.QuickSort Swaps / N,1.893,2.1225,2.2476666,2.327,2.4246001,2.4755,2.532,2.56,2.5990002,2.6329
Mean Lista2.QuickSort Comparisons / N,8.525,9.8545,11.026333,11.425501,11.565599,12.220834,12.328285,12.6016245,13.482223,13.444099
