Algorithm,N: 10 000,N: 20 000,N: 30 000,N: 40 000,N: 50 000,N: 60 000,N: 70 000,N: 80 000,N: 90 000,N: 100 000
BST Keys Comparisons,1.40952016E8,5.6232493E8,1.26582387E9,2.25004365E9,3.51692186E9,5.0643389E9,6.8898478E9,9.0043873E9,1.13870346E10,1.40572611E10
RBBST Keys Comparisons,661513.06,1441058.6,2274787.5,3121275.5,4008976.0,4908714.5,5819491.0,6722968.0,7673697.5,8631715.0
SBST Keys Comparisons,129441.8,261335.95,396701.9,519815.0,642118.4,796909.1,913648.0,1057416.9,1148510.4,1277687.2
BST Read and Swap Nodes,2.1146208E8,8.4355546E8,1.89883763E9,3.37520102E9,5.2755528E9,7.5967119E9,1.03350098E10,1.35068529E10,1.70808576E10,2.10862305E10
RBBST Read and Swap Nodes,1588267.4,3351793.5,5197137.0,7061601.0,8992059.0,1.0936306E7,1.2898404E7,1.4848632E7,1.6866314E7,1.8898682E7
SBST Read and Swap Nodes,745855.5,1525792.1,2355169.8,3021915.5,3657219.5,4776441.0,5320505.5,6276649.0,6495209.0,7196184.0
BST Average Height,10148.0,20242.7,30384.75,40517.5,50659.2,60762.3,70896.55,81048.4,91081.15,101231.6
RBBST Average Height,36.9,40.05,42.6,43.2,45.15,46.05,46.5,46.4,47.9,48.6
SBST Average Height,7644.75,14619.55,21637.85,29819.5,37522.75,44506.2,50761.6,58095.6,68825.45,73015.75
BST MAX Keys Comparison,15770.85,31466.75,47200.05,62950.75,78731.2,94425.65,110177.05,125925.15,141557.16,157309.84
RBBST MAX Keys Comparison,47.0,51.0,53.0,55.0,57.0,57.0,59.0,59.0,61.0,61.0
SBST MAX Keys Comparison,15773.1,31468.85,47202.35,62953.15,78733.75,94427.95,110179.3,125927.25,141559.4,157312.2
BST MAX Read and Swap Nodes,23656.9,47200.75,70800.85,94427.05,118097.65,141639.25,165266.2,188888.34,212336.5,235965.4
RBBST MAX Read and Swap Nodes,282.0,305.0,321.0,328.0,331.0,344.0,344.0,351.0,351.0,354.0
SBST MAX Read and Swap Nodes,208959.2,416929.34,625397.25,834095.4,1043186.4,1251136.4,1459841.4,1668503.2,1875628.6,2084351.2
BST MAX Height,7886.3,15734.25,23600.95,31476.35,39366.55,47213.75,55089.4,62963.45,70779.5,78655.8
RBBST MAX Height,23.0,25.0,26.0,27.0,28.0,28.0,29.0,29.0,30.0,30.0
SBST MAX Height,7886.3,15734.25,23600.95,31476.35,39366.55,47213.75,55089.4,62963.45,70779.5,78655.8
