Algorithm,N: 10 000,N: 20 000,N: 30 000,N: 40 000,N: 50 000,N: 60 000,N: 70 000,N: 80 000,N: 90 000,N: 100 000
BST Keys Comparisons,618774.1,1345938.8,2152399.2,2938792.8,3831251.5,4556338.0,5477527.0,6338026.5,7076687.0,8108416.0
RBBST Keys Comparisons,487636.16,1056560.2,1656817.2,2277822.5,2911372.2,3556593.5,4212653.0,4878296.5,5549331.0,6224952.0
SBST Keys Comparisons,157417.84,308286.4,465579.9,620173.6,767547.06,912642.6,1088385.4,1263615.0,1384077.8,1540926.8
BST Read and Swap Nodes,968729.2,2100047.8,3350417.0,4570498.0,5949626.0,7077358.5,8499923.0,9831094.0,1.0979386E7,1.2566567E7
RBBST Read and Swap Nodes,1084519.2,2290950.8,3546768.0,4832064.5,6135419.0,7454296.0,8793804.0,1.0147458E7,1.1504627E7,1.2867544E7
SBST Read and Swap Nodes,1108760.8,2114652.2,3220860.5,4285582.5,5237872.0,6153249.0,7549281.5,8939714.0,9466669.0,1.056361E7
BST Average Height,53.95,60.25,63.1,65.4,69.8,69.55,72.1,72.45,73.0,74.0
RBBST Average Height,29.85,32.2,33.8,34.5,35.65,36.1,36.6,37.1,37.55,37.9
SBST Average Height,14362.3,28738.25,43117.25,57480.55,71863.0,86258.45,100600.1,114968.9,129348.95,143712.16
BST MAX Keys Comparison,57.95,64.15,67.4,70.0,74.25,73.85,76.0,76.4,77.8,78.0
RBBST MAX Keys Comparison,33.35,36.0,37.05,38.25,39.3,39.8,40.3,40.3,40.95,41.25
SBST MAX Keys Comparison,27.0,27.6,27.7,29.0,29.2,29.3,29.6,30.3,30.2,31.1
BST MAX Read and Swap Nodes,96.35,105.0,109.75,113.8,120.9,119.4,123.1,123.4,125.35,126.1
RBBST MAX Read and Swap Nodes,192.75,204.7,210.55,220.2,222.05,227.05,225.2,229.25,229.7,229.65
SBST MAX Read and Swap Nodes,235.4,241.05,247.3,253.3,254.75,257.5,257.3,262.3,262.25,272.3
BST MAX Height,29.35,32.6,34.05,35.3,37.65,37.4,38.5,38.65,39.5,39.65
RBBST MAX Height,15.95,17.0,17.9,18.3,18.85,19.0,19.05,19.35,19.85,19.9
SBST MAX Height,9577.35,19158.85,28746.1,38320.45,47907.2,57505.1,67066.35,76650.1,86236.85,95810.85
